"Date","Employment","Unemployment"
2012-01-31,5876820,635818
2012-02-29,5919039,623540
2012-03-31,5946426,593888
2012-04-30,5965440,557657
2012-05-31,5992902,560998
2012-06-30,6037349,626361
2012-07-31,6023812,626706
2012-08-31,5973863,595710
2012-09-30,6020643,545951
2012-10-31,6036419,558662
2012-11-30,6011874,547518
2012-12-31,5977220,581915
2013-01-31,5882467,668919
2013-02-28,5894191,654342
2013-03-31,5905710,604625
2013-04-30,5939808,565811
2013-05-31,5971651,576956
2013-06-30,6001669,648494
2013-07-31,6002938,629996
2013-08-31,5962724,597271
2013-09-30,5976571,563823
2013-10-31,5959994,569320
2013-11-30,5989436,558259
2013-12-31,5964554,560872
2014-01-31,5914552,589820
2014-02-28,5930142,612988
2014-03-31,5989489,544674
2014-04-30,6029562,469132
2014-05-31,6048065,466981
2014-06-30,6131016,471760
2014-07-31,6142902,464335
